rho           P             nb           
1.044000e+04  9.744000e+18  6.295000e+27 
2.622000e+04  4.968000e+19  1.581000e+28 
6.587000e+04  2.431000e+20  3.972000e+28 
1.654000e+05  1.151000e+21  9.976000e+28 
4.156000e+05  5.266000e+21  2.506000e+29 
1.044000e+06  2.318000e+22  6.294000e+29 
2.622000e+06  9.755000e+22  1.581000e+30 
6.588000e+06  3.911000e+23  3.972000e+30 
8.293000e+06  5.259000e+23  5.000000e+30 
1.655000e+07  1.435000e+24  9.976000e+30 
3.302000e+07  3.833000e+24  1.990000e+31 
6.589000e+07  1.006000e+25  3.972000e+31 
1.315000e+08  2.604000e+25  7.924000e+31 
2.624000e+08  6.676000e+25  1.581000e+32 
3.304000e+08  8.738000e+25  1.990000e+32 
5.237000e+08  1.629000e+26  3.155000e+32 
8.301000e+08  3.029000e+26  5.000000e+32 
1.045000e+09  4.129000e+26  6.294000e+32 
1.316000e+09  5.036000e+26  7.924000e+32 
1.657000e+09  6.860000e+26  9.976000e+32 
2.626000e+09  1.272000e+27  1.581000e+33 
4.164000e+09  2.356000e+27  2.506000e+33 
6.601000e+09  4.362000e+27  3.972000e+33 
8.312000e+09  5.662000e+27  5.000000e+33 
1.046000e+10  7.702000e+27  6.294000e+33 
1.318000e+10  1.048000e+28  7.924000e+33 
1.659000e+10  1.425000e+28  9.976000e+33 
2.090000e+10  1.938000e+28  1.256000e+34 
2.631000e+10  2.503000e+28  1.581000e+34 
3.313000e+10  3.404000e+28  1.990000e+34 
4.172000e+10  4.628000e+28  2.506000e+34 
5.254000e+10  5.949000e+28  3.155000e+34 
6.617000e+10  8.089000e+28  3.972000e+34 
8.332000e+10  1.100000e+29  5.000000e+34 
1.049000e+11  1.495000e+29  6.294000e+34 
1.322000e+11  2.033000e+29  7.924000e+34 
1.664000e+11  2.597000e+29  9.976000e+34 
1.844000e+11  2.892000e+29  1.105000e+35 
2.096000e+11  3.290000e+29  1.256000e+35 
2.640000e+11  4.473000e+29  1.581000e+35 
3.325000e+11  5.816000e+29  1.990000e+35 
4.188000e+11  7.538000e+29  2.506000e+35 
4.299000e+11  7.805000e+29  2.572000e+35 
4.460e+11       7.890e+29 2.670e+35
5.228e+11      8.352e+29 3.126e+35
6.610e+11      9.098e+29 3.951e+35
7.964e+11      9.831e+29 4.759e+35
9.728e+11      1.083e+30 5.812e+35
1.196e+12       1.218e+30 7.143e+35
1.471e+12     1.399e+30 8.786e+35
1.805e+12     1.638e+30 1.077e+36 
2.202e+12      1.950e+30 1.314e+36 
2.930e+12     2.592e+30 1.748e+36
3.833e+12    3.506e+30 2.287e+36 
4.933e+12       4.771e+30 2.942e+36 
6.248e+12      6.481e+30 3.726e+36 
7.801e+12     8.748e+30 4.650e+36 
9.611e+12     1.170e+31 5.728e+36 
1.246e+13    1.695e+31 7.424e+36 
1.496e+13    2.209e+31 8.907e+36 
1.778e+13    2.848e+31 1.059e+37 
2.210e+13     3.931e+31 1.315e+37 
2.988e+13       6.178e+31 1.777e+37 
3.767e+13      8.774e+31 2.239e+37 
5.081e+13       1.386e+32 3.017e+37 
6.193e+13     1.882e+32 3.675e+37 
7.732e+13       2.662e+32 4.585e+37
9.826e+13     3.897e+32 5.821e+37 
1.262e+14       5.861e+32 7.468e+37 
1.586e+14       8.595e+32 9.371e+37 
2.004e+14    1.286e+33 1.182e+38 
2.520e+14    1.900e+33 1.484e+38 
2.761e+14    2.242e+33 1.625e+38 
3.085e+14    2.751e+33 1.814e+38 
3.433e+14     3.369e+33 2.017e+38
3.885e+14    4.286e+33 2.280e+38  
4.636e+14      6.103e+33 2.715e+38  
5.094e+14    7.391e+33 2.979e+38    
