  n/n0         vsNs
  0.02  0.000886062
  0.04  0.00128586
  0.06  0.001356
  0.08  0.00138147
  0.1   0.00143074
  0.12  0.0015308
  0.14  0.00169423
  0.16  0.00192699
  0.18  0.00223168
  0.2   0.00260905
  0.22  0.0030588
  0.24  0.00357999
  0.26  0.00417137
  0.28  0.00483144
  0.3   0.00555862
  0.32  0.0063513
  0.34  0.00720782
  0.36  0.00812657
  0.38  0.00910595
  0.4   0.0101444
  0.42  0.0112404
  0.44  0.0123871
  0.46  0.0135989
  0.48  0.014859
  0.5   0.0161711
  0.52  0.0175339
  0.54  0.018946
  0.56  0.0204064
  0.58  0.0219138
  0.6   0.023467
  0.62  0.025065
  0.64  0.0267066
  0.66  0.0283909
  0.68  0.0301166
  0.7   0.0318829
  0.72  0.0336888
  0.74  0.0355332
  0.76  0.0374152
  0.78  0.0393339
  0.8   0.0412885
  0.82  0.042777
  0.84  0.0441815
  0.86  0.0458923
  0.88  0.047714
  0.9   0.049611
  0.92  0.0515678
  0.94  0.0535758
  0.96  0.0556297
  0.98  0.0577256
  1     0.0598606
  1.02  0.061999
  1.04  0.0633065
  1.06  0.0641788
  1.08  0.0649659
  1.1   0.0656687
  1.12  0.0662896
  1.14  0.0668326
  1.16  0.0673038
  1.18  0.0677113
  1.2   0.0680653
  1.22  0.0683785
  1.24  0.0686661
  1.26  0.0689454
  1.28  0.0692364
  1.3   0.0695608
  1.32  0.0699422
  1.34  0.0704053
  1.36  0.0709753
  1.38  0.0716772
  1.4   0.0725348
  1.42  0.0735702
  1.44  0.0748027
  1.46  0.0762481
  1.48  0.0779185
  1.5   0.0798214
  1.52  0.0819601
  1.54  0.0843333
  1.56  0.086936
  1.58  0.0897593
  1.6   0.0927913
  1.62  0.0960179
  1.64  0.0994232
  1.66  0.10299
  1.68  0.106756
  1.7   0.121447
  1.72  0.156318
  1.74  0.189598
  1.76  0.214838
  1.78  0.233673
  1.8   0.248185
  1.82  0.259788
  1.84  0.269374
  1.86  0.27751
  1.88  0.284571
  1.9   0.29081
  1.92  0.296406
  1.94  0.301487
  1.96  0.306149
  1.98  0.310465
  2     0.314489
  2.02  0.318265
  2.04  0.321829
  2.06  0.325208
  2.08  0.328425
  2.1   0.3315
  2.12  0.334448
  2.14  0.337282
  2.16  0.340015
  2.18  0.342656
  2.2   0.345212
  2.22  0.347693
  2.24  0.350103
  2.26  0.352449
  2.28  0.354735
  2.3   0.356966
  2.32  0.359146
  2.34  0.361278
  2.36  0.363365
  2.38  0.36541
  2.4   0.367415
  2.42  0.369384
  2.44  0.371317
  2.46  0.373218
  2.48  0.375087
  2.5   0.376926
  2.52  0.378737
  2.54  0.380521
  2.56  0.382279
  2.58  0.384012
  2.6   0.385722
  2.62  0.387409
  2.64  0.389075
  2.66  0.39072
  2.68  0.392345
  2.7   0.39395
  2.72  0.395537
  2.74  0.397106
  2.76  0.398658
  2.78  0.400193
  2.8   0.401712
  2.82  0.403215
  2.84  0.404702
  2.86  0.406176
  2.88  0.407634
  2.9   0.409079
  2.92  0.410511
  2.94  0.411929
  2.96  0.413334
  2.98  0.414727
  3     0.416108
  3.02  0.417476
  3.04  0.418834
  3.06  0.420179
  3.08  0.421514
  3.1   0.422838
  3.12  0.424152
  3.14  0.425455
  3.16  0.426748
  3.18  0.428031
  3.2   0.429304
  3.22  0.430568
  3.24  0.431823
  3.26  0.433068
  3.28  0.434305
  3.3   0.435532
  3.32  0.436751
  3.34  0.437962
  3.36  0.439164
  3.38  0.440358
  3.4   0.441543
  3.42  0.442721
  3.44  0.443891
  3.46  0.445054
  3.48  0.446209
  3.5   0.447356
  3.52  0.448496
  3.54  0.449629
  3.56  0.450755
  3.58  0.451873
  3.6   0.452985
  3.62  0.45409
  3.64  0.455189
  3.66  0.45628
  3.68  0.457366
  3.7   0.458444
  3.72  0.459517
  3.74  0.460583
  3.76  0.461643
  3.78  0.462697
  3.8   0.463744
  3.82  0.464786
  3.84  0.465822
  3.86  0.466852
  3.88  0.467877
  3.9   0.468896
  3.92  0.469909
  3.94  0.470916
  3.96  0.471918
  3.98  0.472915
  4     0.473907
  4.02  0.474893
  4.04  0.475873
  4.06  0.476849
  4.08  0.47782
  4.1   0.478785
  4.12  0.479746
  4.14  0.480701
  4.16  0.481652
  4.18  0.482597
  4.2   0.483538
  4.22  0.484475
  4.24  0.485406
  4.26  0.486333
  4.28  0.487255
  4.3   0.488173
  4.32  0.489086
  4.34  0.489994
  4.36  0.490898
  4.38  0.491798
  4.4   0.492694
  4.42  0.493585
  4.44  0.494471
  4.46  0.495354
  4.48  0.496232
  4.5   0.497107
  4.52  0.497977
  4.54  0.498843
  4.56  0.499705
  4.58  0.500563
  4.6   0.501417
  4.62  0.502267
  4.64  0.503113
  4.66  0.503955
  4.68  0.504793
  4.7   0.505628
  4.72  0.506459
  4.74  0.507286
  4.76  0.508109
  4.78  0.508929
  4.8   0.509745
  4.82  0.510557
  4.84  0.511366
  4.86  0.512171
  4.88  0.512973
  4.9   0.513771
  4.92  0.514566
  4.94  0.515357
  4.96  0.516145
  4.98  0.516929
  5     0.51771
  5.02  0.518488
  5.04  0.519263
  5.06  0.520034
  5.08  0.520801
  5.1   0.521566
  5.12  0.522327
  5.14  0.523085
  5.16  0.52384
  5.18  0.524592
  5.2   0.525341
  5.22  0.526087
  5.24  0.526829
  5.26  0.527569
  5.28  0.528305
  5.3   0.529038
  5.32  0.529769
  5.34  0.530496
  5.36  0.531221
  5.38  0.531942
  5.4   0.532661
  5.42  0.533377
  5.44  0.53409
  5.46  0.5348
  5.48  0.535507
  5.5   0.536212
  5.52  0.536913
  5.54  0.537612
  5.56  0.538308
  5.58  0.539002
  5.6   0.539692
  5.62  0.54038
  5.64  0.541066
  5.66  0.541748
  5.68  0.542428
  5.7   0.543106
  5.72  0.54378
  5.74  0.544453
  5.76  0.545122
  5.78  0.545789
  5.8   0.546454
  5.82  0.547116
  5.84  0.547775
  5.86  0.548432
  5.88  0.549087
  5.9   0.549739
  5.92  0.550389
  5.94  0.551036
  5.96  0.551681
  5.98  0.552323
  6     0.552963
  6.02  0.553601
  6.04  0.554236
  6.06  0.554869
  6.08  0.5555
  6.1   0.556128
  6.12  0.556754
  6.14  0.557378
  6.16  0.558
  6.18  0.558619
  6.2   0.559236
  6.22  0.559851
  6.24  0.560463
  6.26  0.561074
  6.28  0.561682
  6.3   0.562288
  6.32  0.562892
  6.34  0.563494
  6.36  0.564093
  6.38  0.564691
  6.4   0.565286
  6.42  0.56588
  6.44  0.566471
  6.46  0.56706
  6.48  0.567647
  6.5   0.568232
  6.52  0.568815
  6.54  0.569396
  6.56  0.569975
  6.58  0.570552
  6.6   0.571127
  6.62  0.5717
  6.64  0.572271
  6.66  0.572841
  6.68  0.573408
  6.7   0.573973
  6.72  0.574536
  6.74  0.575098
  6.76  0.575657
  6.78  0.576215
  6.8   0.576771
  6.82  0.577325
  6.84  0.577877
  6.86  0.578427
  6.88  0.578975
  6.9   0.579522
  6.92  0.580067
  6.94  0.58061
  6.96  0.581151
  6.98  0.58169
  7     0.582228
  7.02  0.582763
  7.04  0.583297
  7.06  0.58383
  7.08  0.58436
  7.1   0.584889
  7.12  0.585416
  7.14  0.585942
  7.16  0.586465
  7.18  0.586987
  7.2   0.587508
  7.22  0.588026
  7.24  0.588543
  7.26  0.589059
  7.28  0.589573
  7.3   0.590085
  7.32  0.590595
  7.34  0.591104
  7.36  0.591611
  7.38  0.592117
  7.4   0.592621
  7.42  0.593123
  7.44  0.593624
  7.46  0.594123
  7.48  0.594621
  7.5   0.595117
  7.52  0.595612
  7.54  0.596105
  7.56  0.596596
  7.58  0.597086
  7.6   0.597575
  7.62  0.598062
  7.64  0.598547
  7.66  0.599031
  7.68  0.599514
  7.7   0.599995
  7.72  0.600474
  7.74  0.600952
  7.76  0.601429
  7.78  0.601904
  7.8   0.602378
  7.82  0.60285
  7.84  0.603321
  7.86  0.60379
  7.88  0.604258
  7.9   0.604725
  7.92  0.60519
  7.94  0.605654
  7.96  0.606117
  7.98  0.606578
