  n/n_0       f_s       f_o        f_r
    0    1.25987   1.25896   1.65004
    0.1  1.21988   1.22031   1.56944
    0.2  1.18202   1.18349   1.49278
    0.3  1.14747   1.14961   1.41986
    0.4  1.11671   1.11912   1.35051
    0.5  1.08972   1.0921    1.28454
    0.6  1.06626   1.06836   1.22179
    0.7  1.04595   1.04762   1.16211
    0.8  1.0284    1.02952   1.10535
    0.9  1.01322   1.01375   1.05136
    1    1.00008   0.999987  1
    1.1  0.988668  0.987953  0.951153
    1.2  0.978726  0.977404  0.904693
    1.3  0.970035  0.96813   0.860501
    1.4  0.962409  0.95995   0.818469
    1.5  0.955692  0.952713  0.778489
    1.6  0.949755  0.946288  0.740463
    1.7  0.944487  0.940566  0.704294
    1.8  0.939795  0.935452  0.669891
    1.9  0.935604  0.930868  0.637169
    2    0.931845  0.926746  0.606046
    2.1  0.928465  0.923029  0.576442
    2.2  0.925416  0.919666  0.548285
    2.3  0.922656  0.916617  0.521503
    2.4  0.920152  0.913844  0.496029
    2.5  0.917873  0.911316  0.4718
    2.6  0.915795  0.909005  0.448754
    2.7  0.913894  0.906889  0.426834
    2.8  0.912152  0.904945  0.405985
    2.9  0.910552  0.903158  0.386154
    3    0.909078  0.90151   0.367291
    3.1  0.907719  0.899987  0.34935
    3.2  0.906462  0.898578  0.332286
    3.3  0.905299  0.897272  0.316055
    3.4  0.904219  0.896058  0.300616
    3.5  0.903216  0.89493   0.285932
    3.6  0.902282  0.893878  0.271966
    3.7  0.901411  0.892897  0.258681
    3.8  0.900598  0.89198   0.246045
    3.9  0.899838  0.891121  0.234027
    4    0.899126  0.890317  0.222595
    4.1  0.898459  0.889562  0.211722
    4.2  0.897832  0.888853  0.20138
    4.3  0.897243  0.888186  0.191544
    4.4  0.896688  0.887557  0.182187
    4.5  0.896166  0.886965  0.173288
    4.6  0.895673  0.886406  0.164824
    4.7  0.895207  0.885877  0.156772
    4.8  0.894767  0.885378  0.149115
    4.9  0.894351  0.884905  0.141831
    5    0.893956  0.884456  0.134903
    5.1  0.893583  0.884031  0.128313
    5.2  0.893228  0.883627  0.122046
    5.3  0.892891  0.883244  0.116084
    5.4  0.89257   0.882879  0.110414
    5.5  0.892266  0.882532  0.10502
    5.6  0.891976  0.882201  0.0998906
    5.7  0.891699  0.881886  0.0950112
    5.8  0.891435  0.881586  0.0903703
    5.9  0.891184  0.881299  0.085956
    6    0.890944  0.881024  0.0817573
    6.1  0.890714  0.880762  0.0777637
    6.2  0.890495  0.880512  0.0739652
    6.3  0.890285  0.880272  0.0703523
    6.4  0.890084  0.880042  0.0669158
    6.5  0.889891  0.879822  0.0636472
    6.6  0.889706  0.879611  0.0605382
    6.7  0.889529  0.879408  0.0575812
    6.8  0.889359  0.879214  0.0547685
    6.9  0.889196  0.879027  0.0520932
    7    0.889039  0.878848  0.0495487
    7.1  0.888889  0.878675  0.0471284
    7.2  0.888744  0.878509  0.0448263
    7.3  0.888604  0.87835   0.0426367
    7.4  0.88847   0.878196  0.040554
    7.5  0.888341  0.878048  0.0385731
    7.6  0.888216  0.877905  0.0366889
    7.7  0.888096  0.877768  0.0348968
    7.8  0.88798   0.877635  0.0331922
    7.9  0.887869  0.877507  0.0315709
