    n/n_0    E [m_pi^4]    P [m_pi^4]
0.0200125     0.0696543   3.28865e-05
0.0791874     0.27598     0.000462008
0.138362      0.482781    0.00124999
0.197537      0.689977    0.00225972
0.256712      0.897496    0.0033658
0.315887      1.10529     0.00471846
0.375062      1.31338     0.0065097
0.434237      1.52179     0.00879413
0.493412      1.73054     0.0116264
0.552586      1.93968     0.0151752
0.611761      2.14924     0.019706
0.670936      2.3593      0.025339
0.730111      2.5699      0.0321927
0.789286      2.78111     0.0402164
0.848461      2.99294     0.0489198
0.907636      3.20541     0.0582632
0.966811      3.41851     0.068248
1.02599       3.63223     0.0787259
1.08516       3.84655     0.0884793
1.14434       4.06136     0.0970946
1.20351       4.27659     0.104393
1.26268       4.49215     0.11029
1.32186       4.70799     0.117437
1.38103       4.92422     0.127266
1.44021       5.14092     0.139982
1.49938       5.35821     0.155793
1.55856       5.57618     0.174515
1.61773       5.79492     0.195908
1.67691       6.01448     0.220116
1.73608       6.23495     0.247286
1.79526       6.4564      0.277562
1.85443       6.67891     0.31109
1.91361       6.90253     0.348013
1.97278       7.12735     0.388478
2.03196       7.35344     0.432303
2.09113       7.58083     0.477909
2.15031       7.80953     0.525078
2.20948       8.03955     0.573823
2.26866       8.2709      0.62416
2.32783       8.50359     0.676102
2.38701       8.73761     0.729663
2.44618       8.97299     0.784858
2.50536       9.20971     0.841714
2.56453       9.44782     0.902104
2.62371       9.68738     0.967472
2.68288       9.92846     1.03798
2.74206      10.1712      1.11379
2.80123      10.4156      1.19507
2.86041      10.6617      1.28197
2.91958      10.9098      1.37466
2.97876      11.1597      1.47331
3.03793      11.4117      1.57661
3.09711      11.6657      1.67935
3.15628      11.9216      1.78098
3.21546      12.1795      1.88137
3.27463      12.4392      1.9804
3.33381      12.7006      2.07797
3.39298      12.9638      2.17394
3.45216      13.2286      2.26821
3.51133      13.495       2.36095
3.57051      13.7631      2.4629
3.62968      14.0329      2.57979
3.68885      14.3048      2.71205
3.74803      14.579       2.86012
3.8072       14.8556      3.02443
3.86638      15.1348      3.20541
3.92555      15.417       3.40351
3.98473      15.7023      3.61915
4.0439       15.991       3.84952
4.10308      16.283       4.08672
4.16225      16.5785      4.33045
4.22143      16.8775      4.5808
4.2806       17.1801      4.83784
4.33978      17.4863      5.10168
4.39895      17.7961      5.3724
4.45813      18.1096      5.65008
4.5173       18.4269      5.93482
4.57648      18.7479      6.22671
4.63565      19.0728      6.52583
4.69483      19.4015      6.83227
4.754        19.7341      7.14611
4.81318      20.0707      7.46746
4.87235      20.4112      7.79639
4.93153      20.7558      8.13299
4.9907       21.1045      8.47736
5.04988      21.4574      8.82582
5.10905      21.8142      9.17164
5.16823      22.1751      9.51452
5.2274       22.5399      9.85432
5.28658      22.9085     10.1909
5.34575      23.2809     10.524
5.40493      23.6569     10.8535
5.4641       24.0365     11.1794
5.52328      24.4196     11.5013
5.58245      24.8062     11.8192
5.64163      25.196      12.1328
5.7008       25.5892     12.4421
5.75998      25.9856     12.7469
5.81915      26.385      13.0469
5.87833      26.7875     13.3421
