x,Curve1
0.20193,18.9976
0.211466,19.9857
0.22005,21.9749
0.229586,22.963
0.239122,22.9511
0.248659,24.9392
0.258195,25.9273
0.266778,26.9165
0.275361,27.9058
0.284896,27.8939
0.293479,28.8832
0.302063,30.8724
0.311599,31.8605
0.321136,32.8486
0.329719,33.8379
0.339256,35.8259
0.348792,36.814
0.358329,37.8021
0.366912,38.7914
0.376449,40.7794
0.385033,42.7687
0.394569,43.7568
0.403153,45.7461
0.41269,46.7341
0.422227,48.7222
0.429858,50.7127
0.439395,52.7008
0.447978,53.69
0.457517,56.6781
0.466101,58.6674
0.474685,60.6566
0.483269,62.6459
0.492806,64.634
0.50139,66.6233
0.509976,69.6125
0.519513,71.6006
0.528097,73.5899
0.536681,75.5791
0.545266,78.5684
0.554804,80.5565
0.563389,83.5458
0.572929,87.5338
0.582467,89.5219
0.591052,92.5112
0.600591,95.4993
0.6025,97.4969
0.611084,99.4861
0.619669,102.475
0.628254,105.465
0.630164,107.462
0.638748,109.452
0.647334,113.441
0.655918,115.43
0.663551,119.421
0.672136,122.41
0.680722,125.399
0.689308,129.388
0.702664,135.372
0.71125,138.361
0.719836,142.35
0.722699,144.347
0.731284,147.336
0.738916,150.326
0.747502,154.316
0.757998,160.303
0.768493,165.289
0.777078,168.279
0.785665,173.268
0.794252,177.257
0.802839,182.246
0.811426,186.236
0.820013,191.225
0.827646,195.215
0.836234,200.205
0.84482,204.194
0.853408,209.183
0.861994,213.173
0.868675,218.164
0.877261,222.153
0.884896,228.144
0.893484,233.133
0.902069,236.122
0.909705,242.113
0.919246,247.101
0.926881,253.091
0.934514,257.082
0.943101,262.071
0.950735,267.062
0.959324,273.051
0.967913,279.04
0.975547,284.031
0.984136,290.02
0.992723,295.009
1.00036,300
1.00799,304.99
1.01563,310.98
1.02326,316.971
1.03185,321.96
1.03948,326.951
1.04712,332.941
1.05475,338.932
1.09388,367.883
1.10152,373.873
1.11297,381.859
1.12061,387.849
1.12729,393.841
1.13492,399.831
1.13969,402.825
1.14638,408.817
1.15974,419.8
1.16642,425.792
1.17405,430.782
1.17883,434.776
1.18551,441.768
1.19314,446.759
1.20078,453.749
