         f    U [m_pi^4]
0            0
0.00525804   6.0006e-05
0.0118479    0.000159294
0.0180335    0.000252933
0.0239495    0.000374261
0.0296514    0.000536739
0.0351686    0.000752003
0.040519     0.00102838
0.0457145    0.00137264
0.0507635    0.00179015
0.055672     0.00228525
0.0604495    0.00286189
0.0651144    0.00352427
0.0696707    0.00427416
0.0741207    0.00511278
0.0784663    0.0060409
0.0827089    0.00705884
0.0868499    0.00816655
0.0908904    0.00936358
0.0948312    0.0106491
0.0986731    0.0120219
0.102421     0.0134821
0.106115     0.015044
0.109767     0.0167109
0.113378     0.0184818
0.116947     0.0203556
0.120476     0.0223312
0.123965     0.0244075
0.127415     0.0265831
0.130825     0.0288569
0.134195     0.0312275
0.137527     0.0336934
0.140794     0.0362337
0.143977     0.0388302
0.147076     0.0414794
0.15009      0.0441778
0.15302      0.0469215
0.155866     0.0497062
0.158627     0.0525275
0.161304     0.0553808
0.163896     0.0582611
0.166404     0.0611631
0.168856     0.0641167
0.171324     0.0672064
0.173812     0.070437
0.17632      0.0738099
0.178849     0.0773262
0.181397     0.0809872
0.183966     0.0847939
0.186557     0.0887475
0.189168     0.0928491
0.1918       0.0970999
0.194438     0.101474
0.196959     0.105765
0.199335     0.10992
0.201568     0.113929
0.203656     0.117782
0.205598     0.121466
0.207396     0.12497
0.209047     0.12828
0.210552     0.131383
0.211911     0.134263
0.213125     0.136911
0.214362     0.139686
0.215728     0.142834
0.217224     0.146368
0.218851     0.150302
0.220609     0.154648
0.222498     0.159419
0.224519     0.164625
0.226672     0.170277
0.228958     0.176385
0.231378     0.182959
0.233931     0.190006
0.23662      0.197534
0.239443     0.205551
0.242403     0.214063
0.245499     0.223075
0.248732     0.232592
0.252103     0.242618
0.255613     0.253157
0.259262     0.264209
0.263051     0.275777
0.26694      0.287733
0.27068      0.299315
0.274229     0.310391
0.277586     0.320958
0.28075      0.331011
0.28372      0.340542
0.286496     0.349544
0.289076     0.358007
0.29146      0.36592
0.293647     0.373271
0.295635     0.380046
0.297426     0.386229
0.299017     0.391802
0.300407     0.396748
0.301597     0.401046
0.302585     0.404673
0.303372     0.407607
