         f    U [m_pi^4]
0            0
0.00353964  -2.43951e-05
0.00598283  -4.86508e-05
0.00824928  -6.00445e-05
0.0104543   -5.82982e-05
0.0126421   -4.26452e-05
0.0148334   -1.30409e-05
0.0170386    3.04226e-05
0.0192626    8.74656e-05
0.0215069    0.000157699
0.0237712    0.000240655
0.0260536    0.000335818
0.0283512    0.000442657
0.0306614    0.000560682
0.0329833    0.000689516
0.0353138    0.000828682
0.0376492    0.000977735
0.0399857    0.00113628
0.0423192    0.00130397
0.0446454    0.00148054
0.0469598    0.00166579
0.0492578    0.00185957
0.0515349    0.0020618
0.0537861    0.00227247
0.0560068    0.00249158
0.058193     0.00271931
0.0603636    0.00295804
0.0625278    0.00320881
0.0646858    0.00347169
0.0668378    0.00374674
0.068984     0.00403398
0.0711246    0.00433348
0.0732597    0.00464526
0.0753895    0.00496936
0.0775139    0.0053058
0.0796331    0.0056546
0.0817473    0.00601577
0.0838563    0.00638935
0.0859603    0.00677533
0.0880593    0.00717372
0.0901533    0.00758453
0.0922423    0.00800777
0.0943263    0.00844342
0.0964053    0.00889149
0.0984793    0.00935198
0.100548     0.00982487
0.102612     0.0103102
0.104671     0.0108078
0.106724     0.0113179
0.108773     0.0118403
0.110816     0.012375
0.112852     0.0129216
0.11488      0.0134801
0.116902     0.0140504
0.118915     0.0146325
0.120921     0.0152263
0.122918     0.0158318
0.124907     0.016449
0.126888     0.0170777
0.12886      0.0177181
0.130822     0.0183699
0.132776     0.0190332
0.13472      0.0197079
0.136654     0.020394
0.138578     0.0210914
0.140491     0.0217999
0.142395     0.0225197
0.144287     0.0232505
0.146168     0.0239923
0.148038     0.0247451
0.149897     0.0255086
0.151743     0.026283
0.153578     0.0270679
0.1554       0.0278635
0.157209     0.0286694
0.159008     0.0294871
0.160805     0.0303197
0.1626       0.0311676
0.164393     0.0320309
0.166186     0.0329095
0.167977     0.0338037
0.169768     0.0347135
0.171558     0.035639
0.173349     0.0365803
0.175139     0.0375374
0.176931     0.0385106
0.178724     0.0394998
0.180517     0.0405052
0.182313     0.0415269
0.184111     0.0425649
0.18591      0.0436194
0.187713     0.0446904
0.189518     0.0457781
0.191327     0.0468825
0.193139     0.0480037
0.194955     0.0491419
0.196776     0.0502971
0.198601     0.0514693
0.20043      0.0526587
0.202266     0.0538654
