        f    Interpolated     KVOR
0.0144047        0.893707  1.1163
0.0170072        0.942252  1.11443
0.0195638        0.979356  1.1126
0.0220825        1.00781   1.11081
0.0245712        1.02976   1.10904
0.0270323        1.0467    1.10729
0.0294702        1.0598    1.10557
0.0318862        1.06989   1.10387
0.0342819        1.07763   1.10219
0.0366584        1.0835    1.10053
0.0390165        1.08788   1.09888
0.0413562        1.09107   1.09725
0.0436795        1.09329   1.09564
0.0459849        1.09474   1.09405
0.0482736        1.09555   1.09247
0.0505457        1.09584   1.09091
0.0528012        1.09571   1.08936
0.0550404        1.09522   1.08783
0.0572632        1.09446   1.08632
0.0594698        1.09346   1.08482
0.0616599        1.09226   1.08333
0.0638346        1.09091   1.08186
0.0659978        1.08943   1.0804
0.0681493        1.08784   1.07896
0.0702882        1.08617   1.07752
0.0724145        1.08444   1.0761
0.074528         1.08267   1.07469
0.0766287        1.08086   1.07329
0.078716         1.07904   1.07191
0.0807914        1.0772    1.07053
0.0828524        1.07536   1.06917
0.0849005        1.07353   1.06782
0.0869352        1.07171   1.06649
0.0889566        1.0699    1.06516
0.0909643        1.0681    1.06385
0.0929584        1.06633   1.06255
0.0949389        1.06457   1.06126
0.0969055        1.06284   1.05998
0.0988584        1.06114   1.05872
0.100797         1.05946   1.05747
0.102722         1.05781   1.05623
0.104633         1.05619   1.055
0.10653          1.0546    1.05378
0.108412         1.05304   1.05258
0.11028          1.0515    1.05138
0.112135         1.05      1.0502
0.113973         1.04853   1.04904
0.115811         1.04707   1.04787
0.11765          1.0456    1.04671
0.119487         1.04413   1.04555
0.121321         1.04266   1.04439
0.123153         1.04119   1.04324
0.124981         1.03974   1.04209
0.126807         1.03829   1.04095
0.128629         1.03686   1.03981
0.130448         1.03544   1.03868
0.132263         1.03403   1.03755
0.134075         1.03265   1.03643
0.135882         1.03128   1.03531
0.137686         1.02994   1.03419
0.139485         1.02861   1.03309
0.141281         1.02731   1.03198
0.143072         1.02603   1.03088
0.144859         1.02476   1.02979
0.146641         1.02352   1.0287
0.148418         1.02231   1.02761
0.150191         1.02111   1.02654
0.151959         1.01993   1.02546
0.153723         1.01878   1.02439
0.155481         1.01765   1.02333
0.157235         1.01654   1.02227
0.158976         1.01546   1.02122
0.1607           1.01444   1.02019
0.162406         1.01347   1.01916
0.164095         1.01255   1.01815
0.165767         1.01167   1.01715
0.167423         1.01084   1.01617
0.169062         1.01005   1.01519
0.170684         1.0093    1.01423
0.17229          1.00859   1.01328
0.173878         1.00791   1.01233
0.175451         1.00727   1.01141
0.177006         1.00666   1.01049
0.178545         1.00609   1.00958
0.180068         1.00555   1.00869
0.181573         1.00503   1.00781
0.183063         1.00455   1.00693
0.184535         1.0041    1.00607
0.185991         1.00367   1.00522
0.18743          1.00327   1.00439
0.188852         1.00289   1.00356
0.190257         1.00254   1.00274
0.19165          1.00221   1.00194
0.193001         1.00192   1.00115
