    n/n_0    ebind_old     ebind      f_old          f
0           nan          nan      0          0
0.040404      0.241006  -932.043  0.0319988  0.0318122
0.0808081    -1.05934   -932.053  0.0637913  0.0633682
0.121212     -2.60881   -932.064  0.0953863  0.0947214
0.161616     -4.23759   -932.077  0.126768   0.125858
0.20202      -5.87118   -932.089  0.157912   0.156754
0.242424     -7.46499   -932.101  0.188785   0.187375
0.282828     -8.98692   -932.112  0.219348   0.217683
0.323232    -10.4107    -932.123  0.249555   0.24763
0.363636    -11.713     -932.133  0.279353   0.277162
0.40404     -12.8718    -932.141  0.30868    0.306218
0.444444    -13.8655    -932.149  0.337469   0.33473
0.484848    -14.6725    -932.155  0.365645   0.362621
0.525253    -15.2712    -932.16   0.393126   0.38981
0.565657    -15.6399    -932.162  0.419828   0.416211
0.606061    -15.7571    -932.163  0.445664   0.441737
0.646465    -15.6015    -932.162  0.47055    0.466301
0.686869    -15.1529    -932.159  0.494408   0.489825
0.727273    -14.3928    -932.154  0.517169   0.512241
0.767677    -13.3043    -932.146  0.538779   0.533493
0.808081    -11.8732    -932.135  0.559201   0.553544
0.848485    -10.0884    -932.122  0.578419   0.572376
0.888889     -7.94198   -932.107  0.596435   0.589988
0.929293     -5.42923   -932.088  0.613268   0.606402
0.969697     -2.54895   -932.067  0.628956   0.621652
1.0101        0.697029  -932.043  0.643549   0.63579
1.05051       4.30404   -932.017  0.657105   0.648872
1.09091       8.26503   -931.987  0.66969    0.660965
1.13131      12.571     -931.956  0.681371   0.672134
1.17172      17.2113    -931.921  0.692216   0.682448
1.21212      22.1742    -931.885  0.702293   0.691973
1.25253      27.4472    -931.846  0.711664   0.700774
1.29293      33.0172    -931.805  0.720391   0.708912
1.33333      38.8712    -931.762  0.728528   0.716443
1.37374      44.9957    -931.717  0.736127   0.723418
1.41414      51.3779    -931.669  0.743236   0.729886
1.45455      58.0048    -931.621  0.749897   0.73589
1.49495      64.8642    -931.57   0.756149   0.741469
1.53535      71.944     -931.518  0.762026   0.746657
1.57576      79.2328    -931.464  0.767561   0.751487
1.61616      86.7196    -931.409  0.772782   0.755988
1.65657      94.3941    -931.352  0.777715   0.760187
1.69697     102.246     -931.294  0.782383   0.764107
1.73737     110.267     -931.235  0.786807   0.767769
1.77778     118.447     -931.174  0.791005   0.771194
1.81818     126.778     -931.113  0.794996   0.774398
1.85859     135.252     -931.05   0.798794   0.777397
1.89899     143.862     -930.987  0.802414   0.780205
1.93939     152.601     -930.922  0.805868   0.782836
1.9798      161.462     -930.857  0.809167   0.785302
2.0202      170.439     -930.79   0.812323   0.787613
2.06061     179.526     -930.723  0.815345   0.78978
2.10101     188.717     -930.655  0.818242   0.791812
2.14141     198.008     -930.587  0.821021   0.793717
2.18182     207.393     -930.518  0.823691   0.795503
2.22222     216.868     -930.448  0.826257   0.797176
2.26263     226.428     -930.377  0.828727   0.798744
2.30303     236.069     -930.306  0.831105   0.800213
2.34343     245.788     -930.234  0.833398   0.801588
2.38384     255.581     -930.162  0.83561    0.802874
2.42424     265.444     -930.089  0.837745   0.804076
2.46465     275.374     -930.015  0.839808   0.805198
2.50505     285.368     -929.942  0.841802   0.806246
2.54545     295.423     -929.867  0.843732   0.807222
2.58586     305.536     -929.793  0.8456     0.808131
2.62626     315.705     -929.717  0.84741    0.808975
2.66667     325.927     -929.642  0.849164   0.809757
2.70707     336.2       -929.566  0.850865   0.810482
2.74747     346.522     -929.49   0.852517   0.811151
2.78788     356.89      -929.413  0.85412    0.811768
2.82828     367.303     -929.336  0.855678   0.812334
2.86869     377.759     -929.259  0.857192   0.812852
2.90909     388.255     -929.181  0.858664   0.813324
2.94949     398.791     -929.104  0.860097   0.813753
2.9899      409.364     -929.025  0.861492   0.814139
3.0303      419.973     -928.947  0.86285    0.814486
3.07071     430.617     -928.868  0.864174   0.814794
3.11111     441.294     -928.79   0.865463   0.815066
3.15152     452.002     -928.71   0.866721   0.815303
3.19192     462.742     -928.631  0.867948   0.815506
3.23232     473.51      -928.552  0.869146   0.815677
3.27273     484.307     -928.472  0.870315   0.815818
3.31313     495.131     -928.392  0.871456   0.815928
3.35354     505.981     -928.312  0.872571   0.816011
3.39394     516.856     -928.231  0.873661   0.816066
3.43434     527.756     -928.151  0.874727   0.816095
3.47475     538.678     -928.07   0.875768   0.816098
3.51515     549.623     -927.989  0.876788   0.816078
3.55556     560.589     -927.908  0.877785   0.816035
3.59596     571.576     -927.827  0.878761   0.815969
3.63636     582.583     -927.746  0.879717   0.815882
3.67677     593.609     -927.664  0.880653   0.815774
3.71717     604.654     -927.583  0.88157    0.815647
3.75758     615.717     -927.501  0.882468   0.8155
3.79798     626.796     -927.419  0.883349   0.815335
3.83838     637.893     -927.337  0.884213   0.815153
3.87879     649.005     -927.255  0.885059   0.814953
3.91919     660.133     -927.173  0.88589    0.814737
3.9596      671.276     -927.09   0.886705   0.814505
4           682.433     -927.008  0.887504   0.814258
