    n/n_0    ebind_old       ebind      f_old          f
0           nan         nan         0          0
0.040404     -1.28244    -1.1536    0.0208594  0.0220975
0.0808081    -3.70712    -3.67979   0.040399   0.0425998
0.121212     -6.0315     -6.03948   0.0588168  0.0617573
0.161616     -8.13288    -8.15975   0.0762568  0.0797328
0.20202      -9.97925   -10.0174    0.0928312  0.0966527
0.242424    -11.5648    -11.6101    0.10863    0.11262
0.282828    -12.8933    -12.9432    0.123729   0.127718
0.323232    -13.9727    -14.0255    0.138188   0.142018
0.363636    -14.8121    -14.8667    0.15206    0.15558
0.40404     -15.4213    -15.4769    0.165391   0.168456
0.444444    -15.8097    -15.8658    0.178217   0.180689
0.484848    -15.9865    -16.0428    0.190574   0.19232
0.525253    -15.9604    -16.0168    0.20249    0.203382
0.565657    -15.7396    -15.7961    0.213991   0.213908
0.606061    -15.3318    -15.3887    0.225101   0.223924
0.646465    -14.7444    -14.8019    0.235839   0.233455
0.686869    -13.984     -14.0425    0.246225   0.242524
0.727273    -13.0572    -13.1172    0.256275   0.25115
0.767677    -11.9699    -12.0321    0.266005   0.259354
0.808081    -10.7277    -10.7928    0.275428   0.267151
0.848485     -9.33615    -9.40484   0.284557   0.274558
0.888889     -7.80016    -7.8733    0.293403   0.281589
0.929293     -6.12459    -6.20305   0.301979   0.288259
0.969697     -4.31396    -4.39875   0.310293   0.294579
1.0101       -2.37262    -2.46474   0.318355   0.300564
1.05051      -0.304687   -0.405197  0.326173   0.306223
1.09091       1.88591     1.77587   0.333757   0.311568
1.13131       4.19541     4.07467   0.341113   0.316609
1.17172       6.62023     6.48756   0.348249   0.321356
1.21212       9.1569      9.01107   0.355172   0.325818
1.25253      11.8021     11.6418    0.361888   0.330004
1.29293      14.5527     14.3766    0.368403   0.333924
1.33333      17.4056     17.2124    0.374724   0.337584
1.37374      20.3579     20.1462    0.380855   0.340995
1.41414      23.4067     23.175     0.386803   0.344163
1.45455      26.5493     26.2962    0.392573   0.347097
1.49495      29.783      29.5071    0.398169   0.349803
1.53535      33.1053     32.8051    0.403596   0.352288
1.57576      36.5137     36.1876    0.408858   0.354561
1.61616      40.0057     39.6524    0.413962   0.356626
1.65657      43.5792     43.197     0.418909   0.358493
1.69697      47.2317     46.8192    0.423706   0.360166
1.73737      50.9611     50.5167    0.428355   0.361652
1.77778      54.7654     54.2875    0.43286    0.362957
1.81818      58.6424     58.1295    0.437226   0.364088
1.85859      62.5901     62.0407    0.441456   0.36505
1.89899      66.6067     66.0191    0.445553   0.36585
1.93939      70.6901     70.0629    0.449521   0.366492
1.9798       74.8386     74.1702    0.453363   0.366982
2.0202       79.0504     78.3392    0.457083   0.367326
2.06061      83.3237     82.5683    0.460683   0.367529
2.10101      87.6569     86.8556    0.464167   0.367596
2.14141      92.0484     91.1997    0.467537   0.367532
2.18182      96.4964     95.5989    0.470796   0.367342
2.22222     101         100.052     0.473948   0.367031
2.26263     105.556     104.556     0.476994   0.366603
2.30303     110.165     109.112     0.479938   0.366063
2.34343     114.824     113.716     0.482782   0.365415
2.38384     119.533     118.369     0.485528   0.364663
2.42424     124.29      123.068     0.488179   0.363812
2.46465     129.093     127.812     0.490737   0.362866
2.50505     133.941     132.599     0.493204   0.361829
2.54545     138.834     137.43      0.495583   0.360704
2.58586     143.769     142.302     0.497876   0.359495
2.62626     148.746     147.214     0.500084   0.358206
2.66667     153.764     152.165     0.50221    0.356841
2.70707     158.821     157.155     0.504255   0.355402
2.74747     163.916     162.181     0.506222   0.353893
2.78788     169.048     167.243     0.508113   0.352317
2.82828     174.216     172.34      0.509928   0.350677
2.86869     179.42      177.471     0.51167    0.348977
2.90909     184.658     182.635     0.513341   0.347218
2.94949     189.929     187.831     0.514942   0.345405
2.9899      195.232     193.058     0.516474   0.34354
3.0303      200.566     198.315     0.51794    0.341625
3.07071     205.931     203.601     0.51934    0.339662
3.11111     211.326     208.916     0.520676   0.337656
3.15152     216.749     214.258     0.521949   0.335607
3.19192     222.201     219.627     0.523161   0.333518
3.23232     227.679     225.023     0.524313   0.331391
3.27273     233.184     230.443     0.525406   0.329229
3.31313     238.714     235.888     0.526441   0.327034
3.35354     244.269     241.357     0.527421   0.324807
3.39394     249.849     246.849     0.528344   0.322551
3.43434     255.452     252.364     0.529214   0.320268
3.47475     261.077     257.9       0.53003    0.317959
3.51515     266.725     263.457     0.530794   0.315626
3.55556     272.394     269.035     0.531508   0.313271
3.59596     278.084     274.633     0.53217    0.310896
3.63636     283.794     280.25      0.532784   0.308502
3.67677     289.523     285.886     0.533349   0.306091
3.71717     295.272     291.54      0.533867   0.303665
3.75758     301.039     297.211     0.534338   0.301224
3.79798     306.823     302.9       0.534764   0.29877
3.83838     312.625     308.605     0.535144   0.296306
3.87879     318.444     314.325     0.53548    0.293831
3.91919     324.279     320.062     0.535772   0.291348
3.9596      330.13      325.813     0.536022   0.288857
4           335.996     331.579     0.536229   0.28636
