  n/n_0       f_s       f_o        f_r
    0    1.24212   1.2469    1.64658
    0.1  1.20817   1.2135    1.56648
    0.2  1.17548   1.18118   1.49027
    0.3  1.14489   1.15065   1.41778
    0.4  1.11682   1.12233   1.34881
    0.5  1.09142   1.09638   1.28319
    0.6  1.06863   1.07283   1.22077
    0.7  1.0483    1.05158   1.16138
    0.8  1.03024   1.03248   1.10488
    0.9  1.01422   1.01535   1.05113
    1    1         1         1
    1.1  0.987384  0.986249  0.951353
    1.2  0.976172  0.973922  0.905073
    1.3  0.966191  0.962859  0.861044
    1.4  0.957286  0.952916  0.819157
    1.5  0.949324  0.943965  0.779307
    1.6  0.942187  0.93589   0.741396
    1.7  0.935774  0.928592  0.70533
    1.8  0.929997  0.921982  0.671018
    1.9  0.924779  0.915982  0.638375
    2    0.920055  0.910524  0.60732
    2.1  0.915767  0.90555   0.577775
    2.2  0.911867  0.901006  0.549668
    2.3  0.90831   0.896847  0.522929
    2.4  0.905059  0.893033  0.49749
    2.5  0.902081  0.889528  0.473289
    2.6  0.899348  0.886301  0.450265
    2.7  0.896834  0.883324  0.428361
    2.8  0.894517  0.880574  0.407522
    2.9  0.892377  0.878028  0.387697
    3    0.890399  0.875667  0.368837
    3.1  0.888565  0.873475  0.350894
    3.2  0.886863  0.871436  0.333824
    3.3  0.885281  0.869537  0.317585
    3.4  0.883807  0.867765  0.302135
    3.5  0.882433  0.86611   0.287437
    3.6  0.88115   0.864561  0.273455
    3.7  0.879949  0.863111  0.260152
    3.8  0.878825  0.86175   0.247496
    3.9  0.877771  0.860473  0.235456
    4    0.876781  0.859272  0.224002
    4.1  0.875851  0.858141  0.213105
    4.2  0.874975  0.857076  0.202738
    4.3  0.87415   0.85607   0.192876
    4.4  0.873372  0.855121  0.183493
    4.5  0.872637  0.854224  0.174566
    4.6  0.871943  0.853376  0.166074
    4.7  0.871285  0.852572  0.157995
    4.8  0.870663  0.85181   0.150309
    4.9  0.870073  0.851087  0.142997
    5    0.869513  0.8504    0.136041
    5.1  0.868982  0.849748  0.129423
    5.2  0.868477  0.849127  0.123127
    5.3  0.867996  0.848536  0.117137
    5.4  0.867539  0.847974  0.111439
    5.5  0.867103  0.847437  0.106018
    5.6  0.866687  0.846925  0.10086
    5.7  0.866291  0.846437  0.0959537
    5.8  0.865913  0.84597   0.0912858
    5.9  0.865551  0.845524  0.086845
    6    0.865206  0.845097  0.0826203
    6.1  0.864875  0.844688  0.0786011
    6.2  0.864559  0.844297  0.0747774
    6.3  0.864255  0.843922  0.0711397
    6.4  0.863965  0.843563  0.067679
    6.5  0.863686  0.843218  0.0643866
    6.6  0.863419  0.842886  0.0612544
    6.7  0.863162  0.842568  0.0582745
    6.8  0.862916  0.842263  0.0554397
    6.9  0.862679  0.841969  0.0527427
    7    0.862451  0.841686  0.0501769
    7.1  0.862232  0.841414  0.047736
    7.2  0.862022  0.841153  0.0454138
    7.3  0.861819  0.8409    0.0432045
    7.4  0.861623  0.840657  0.0411028
    7.5  0.861435  0.840423  0.0391032
    7.6  0.861253  0.840197  0.037201
    7.7  0.861077  0.839979  0.0353913
    7.8  0.860908  0.839768  0.0336696
    7.9  0.860745  0.839565  0.0320317
