  n/n_0       f_s       f_o        f_r
    0    1.28482   1.32013   1.56507
    0.1  1.2506    1.28153   1.49651
    0.2  1.21696   1.24359   1.43096
    0.3  1.18434   1.20684   1.36828
    0.4  1.15305   1.17162   1.30834
    0.5  1.12331   1.13818   1.25103
    0.6  1.09525   1.10665   1.19623
    0.7  1.0689    1.07709   1.14383
    0.8  1.04427   1.0495    1.09372
    0.9  1.02132   1.02382   1.04581
    1    0.999988  0.99998   1
    1.1  0.980198  0.977888  0.956195
    1.2  0.961858  0.957438  0.91431
    1.3  0.944873  0.938521  0.874259
    1.4  0.929149  0.921026  0.835962
    1.5  0.914593  0.904847  0.799343
    1.6  0.901116  0.889881  0.764328
    1.7  0.888631  0.87603   0.730847
    1.8  0.87706   0.863204  0.698833
    1.9  0.866328  0.851318  0.668221
    2    0.856367  0.840294  0.638949
    2.1  0.847113  0.83006   0.61096
    2.2  0.838508  0.820551  0.584198
    2.3  0.830498  0.811705  0.558607
    2.4  0.823035  0.803469  0.534137
    2.5  0.816075  0.795791  0.51074
    2.6  0.809576  0.788627  0.488367
    2.7  0.803503  0.781935  0.466974
    2.8  0.79782   0.775677  0.446519
    2.9  0.792498  0.769818  0.426959
    3    0.787508  0.764328  0.408256
    3.1  0.782825  0.759178  0.390373
    3.2  0.778425  0.754342  0.373273
    3.3  0.774288  0.749795  0.356922
    3.4  0.770393  0.745517  0.341287
    3.5  0.766723  0.741488  0.326337
    3.6  0.763262  0.737689  0.312042
    3.7  0.759995  0.734104  0.298373
    3.8  0.756909  0.730718  0.285303
    3.9  0.753989  0.727517  0.272805
    4    0.751226  0.724488  0.260855
    4.1  0.748609  0.721619  0.249428
    4.2  0.746128  0.7189    0.238502
    4.3  0.743773  0.716321  0.228055
    4.4  0.741537  0.713872  0.218065
    4.5  0.739412  0.711545  0.208513
    4.6  0.737392  0.709333  0.199379
    4.7  0.735468  0.707228  0.190645
    4.8  0.733637  0.705224  0.182294
    4.9  0.731891  0.703314  0.174309
    5    0.730226  0.701493  0.166673
    5.1  0.728637  0.699755  0.159372
    5.2  0.727119  0.698096  0.152391
    5.3  0.725669  0.69651   0.145716
    5.4  0.724283  0.694995  0.139333
    5.5  0.722956  0.693545  0.133229
    5.6  0.721686  0.692157  0.127393
    5.7  0.720469  0.690828  0.121813
    5.8  0.719303  0.689554  0.116477
    5.9  0.718185  0.688333  0.111374
    6    0.717112  0.687161  0.106496
    6.1  0.716083  0.686037  0.101831
    6.2  0.715094  0.684957  0.0973701
    6.3  0.714143  0.683919  0.0931049
    6.4  0.713229  0.682922  0.0890264
    6.5  0.71235   0.681963  0.0851267
    6.6  0.711505  0.68104   0.0813977
    6.7  0.71069   0.680151  0.0778321
    6.8  0.709906  0.679295  0.0744227
    6.9  0.70915   0.678471  0.0711627
    7    0.708422  0.677676  0.0680454
    7.1  0.707719  0.676909  0.0650647
    7.2  0.707041  0.67617   0.0622146
    7.3  0.706387  0.675456  0.0594893
    7.4  0.705755  0.674767  0.0568834
    7.5  0.705145  0.674102  0.0543916
    7.6  0.704555  0.673459  0.052009
    7.7  0.703985  0.672837  0.0497308
    7.8  0.703433  0.672236  0.0475524
    7.9  0.7029    0.671655  0.0454693
